대륙,국적,성별,문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),연수취업(E8),교수(E-1),회화강사(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),기타(other)
아시아주,한국계중국인,남성,0,226,73,17,0,1,4,21,0,2,0,1,0,0,0,0,0,7,306,1,5437,5657,15,59478,7051,127,0,50777,426
아시아주,한국계중국인,여성,1,318,50,19,0,0,1,8,1,2,0,1,0,1,0,0,0,2,224,0,6676,6378,19,48420,9794,48,0,36180,99
아시아주,베트남,남성,0,13543,153,21247,1,40,15,81,41,1798,863,26,0,272,0,0,15,3813,26948,9010,11757,1518,690,601,3945,666,0,0,1490
아시아주,베트남,여성,1,18457,82,15780,0,132,0,24,46,2472,580,13,6,115,0,0,4,500,2340,0,19224,1799,1612,1597,32469,321,0,0,776
아시아주,중국,남성,3,20647,253,2310,13,11,182,1068,353,855,14,83,36,215,0,0,68,4586,1306,1527,10287,5730,371,12325,4620,2090,0,0,709
아시아주,중국,여성,4,32011,106,3193,10,27,55,306,22,1495,15,65,325,107,0,0,54,2329,169,0,16121,9913,831,23265,19393,1343,0,0,750
아시아주,우즈베키스탄,남성,0,8147,54,1665,0,0,4,76,42,700,212,7,0,10,0,0,25,583,11191,0,3623,602,414,818,192,741,0,5229,446
아시아주,우즈베키스탄,여성,1,1246,0,117,0,0,0,6,4,146,22,5,0,1,0,0,7,30,146,0,3971,542,763,1256,1673,76,0,4255,101
아시아주,캄보디아,남성,0,213,1,66,0,5,8,7,2,9,63,1,0,13,0,0,0,254,27887,0,870,72,17,26,661,34,0,0,93
아시아주,캄보디아,여성,0,186,0,54,0,3,4,0,0,11,51,0,0,0,0,0,0,30,9029,0,1492,122,49,82,3709,37,0,0,70
아시아주,네팔,남성,0,1664,1,110,0,65,1,53,23,195,344,26,0,80,0,0,0,1340,33106,0,85,185,186,97,178,347,0,0,709
아시아주,네팔,여성,0,899,0,83,0,17,0,5,4,106,84,0,0,18,0,0,0,28,2738,0,198,170,716,59,540,138,0,0,157
아시아주,필리핀,남성,0,236,61,67,0,84,4,38,48,23,596,21,0,28,4,3,125,366,19840,28,525,146,141,61,537,301,0,0,463
아시아주,필리핀,여성,0,328,49,120,0,80,1,5,3,36,335,36,1,29,0,0,1277,140,1988,7,2167,316,318,597,10610,274,0,0,557
아시아주,인도네시아,남성,1,780,47,160,0,17,8,19,8,32,0,15,0,39,4,2,4,356,26183,7799,29,67,158,37,113,84,0,0,130
아시아주,인도네시아,여성,0,1205,11,252,0,42,3,8,5,94,0,5,1,17,0,0,24,131,659,0,91,101,326,168,907,35,0,0,114
아시아주,타이,남성,1,148,7,35,0,13,2,72,11,7,13,5,0,14,1,2,13,432,18823,0,171,53,46,16,126,101,0,0,164
아시아주,타이,여성,1,435,2,349,0,1,2,49,6,18,12,3,0,10,0,0,30,159,3656,0,587,136,121,589,6704,488,0,0,141
아시아주,미얀마,남성,0,294,2,408,0,19,0,2,2,48,0,2,0,8,0,0,1,160,23108,909,20,188,28,7,62,2448,0,0,94
아시아주,미얀마,여성,0,759,0,1122,0,63,0,1,0,91,0,0,0,14,0,0,1,39,2,0,45,200,92,22,250,241,0,0,53
아시아주,몽골,남성,1,2126,0,2219,0,23,4,54,46,387,19,6,0,16,0,0,79,166,3673,0,493,373,1970,119,191,561,0,0,314
아시아주,몽골,여성,0,4188,0,2816,0,6,6,47,137,1000,17,5,0,36,0,0,31,167,577,0,738,588,1443,615,1715,582,0,0,330
아시아주,일본,남성,6,353,0,180,39,23,161,1577,44,18,0,42,22,166,10,6,130,192,0,0,95,150,276,652,865,3,21,0,268
아시아주,일본,여성,2,2508,0,2024,3,22,14,61,4,83,0,29,100,12,0,0,137,206,0,0,173,348,777,6604,7561,6,400,0,283
아시아주,스리랑카,남성,0,132,9,53,0,32,0,12,4,11,0,0,0,20,1,0,0,588,18630,13,46,96,113,37,289,415,0,0,789
아시아주,스리랑카,여성,0,147,5,63,0,2,0,1,0,19,0,0,0,3,0,0,0,15,140,0,71,28,299,16,66,69,0,0,48
아시아주,타이완,남성,0,105,0,45,2,3,9,44,17,7,0,4,0,12,5,17,6,38,0,0,180,1423,16,6195,155,0,2,0,16
아시아주,타이완,여성,3,828,0,370,1,13,8,43,4,77,0,4,8,3,1,1,16,169,0,0,162,1174,67,5064,1311,1,23,0,31
아시아주,방글라데시,남성,0,1223,58,48,0,11,5,44,15,122,0,18,0,98,0,0,1,728,10413,0,98,448,276,134,207,650,0,0,1064
아시아주,방글라데시,여성,0,271,0,25,0,1,1,2,0,14,0,1,0,17,0,0,0,9,39,0,228,222,787,31,118,43,0,0,69
아시아주,카자흐스탄,남성,0,251,0,56,1,0,0,14,4,14,0,1,0,1,0,0,5,41,32,0,2436,77,33,128,26,3175,0,2628,152
아시아주,카자흐스탄,여성,0,601,0,186,0,0,0,4,0,47,0,2,0,4,0,0,13,45,3,0,2959,126,40,145,477,1416,0,1981,115
아시아주,인도,남성,1,865,4,74,2,42,136,213,71,59,0,281,0,1271,6,8,21,989,11,0,50,224,606,284,149,2726,0,0,384
아시아주,인도,여성,0,695,0,151,1,14,8,22,2,22,0,43,1,242,0,0,6,87,0,0,85,257,1699,85,64,181,0,0,125
아시아주,파키스탄,남성,1,1289,0,30,1,10,3,327,73,120,0,60,0,223,0,0,0,334,3299,0,63,264,397,271,682,1777,0,0,779
아시아주,파키스탄,여성,0,270,0,30,0,3,0,8,0,17,0,5,0,37,0,0,0,13,0,0,70,160,797,50,157,84,0,0,102
아시아주,키르기즈,남성,0,155,0,72,0,0,0,178,11,6,4,1,0,0,0,0,3,34,1247,1,493,59,103,46,30,316,0,474,52
아시아주,키르기즈,여성,0,263,0,116,0,0,0,6,1,19,13,0,0,1,0,0,9,13,43,0,619,84,163,118,347,38,0,336,51
아시아주,말레이시아,남성,1,293,0,46,0,2,12,30,43,8,0,8,0,18,10,22,2,84,0,0,5,30,34,19,75,989,0,0,56
아시아주,말레이시아,여성,0,637,0,144,0,3,0,11,4,30,0,5,0,13,0,0,4,99,0,0,14,55,67,89,211,393,0,0,46
아시아주,티모르민주공화국,남성,0,13,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,6,2953,0,0,0,0,1,0,2,0,0,47
아시아주,티모르민주공화국,여성,0,10,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,1,36,0,2,0,0,0,0,0,0,0,11
아시아주,튀르키예,남성,0,91,0,36,0,3,6,29,20,4,0,6,5,10,1,0,9,56,0,0,13,29,25,18,134,1291,0,0,75
아시아주,튀르키예,여성,0,272,0,145,0,0,1,0,2,11,0,1,3,6,0,0,9,28,0,0,15,58,54,4,204,60,0,0,38
아시아주,홍콩,남성,0,51,0,33,1,4,5,39,5,7,0,6,0,1,0,0,7,41,0,0,8,70,29,41,84,0,1,0,2
아시아주,홍콩,여성,1,423,0,199,0,4,4,18,1,59,0,2,2,2,0,0,3,96,0,0,35,133,39,93,545,0,24,0,8
아시아주,라오스,남성,0,53,0,14,0,0,1,0,0,1,79,0,0,2,0,0,14,0,730,0,24,5,3,0,2,0,0,0,13
아시아주,라오스,여성,0,52,0,46,0,2,0,0,0,2,53,0,0,0,0,0,0,4,52,0,104,9,7,34,592,2,0,0,8
아시아주,시리아,남성,0,8,0,0,0,0,0,82,4,0,0,1,0,0,0,0,0,1,0,0,4,13,87,14,18,859,0,0,4
아시아주,시리아,여성,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,120,8,2,372,0,0,3
아시아주,이란,남성,0,104,0,15,0,0,1,4,3,3,0,13,0,102,0,0,2,27,28,0,14,66,46,47,86,49,0,0,46
아시아주,이란,여성,0,178,0,73,0,0,0,1,0,14,0,10,0,42,0,0,7,19,0,0,14,53,115,10,47,16,0,0,31
아시아주,예멘공화국,남성,0,17,0,4,0,0,0,34,13,3,0,0,0,3,0,0,0,3,0,0,3,46,50,8,12,659,0,0,5
아시아주,예멘공화국,여성,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,6,28,95,1,2,97,0,0,0
아시아주,사우디아라비아,남성,0,31,2,134,0,0,1,58,2,1,0,0,0,2,0,1,0,10,0,0,2,3,106,0,4,1,0,0,168
아시아주,사우디아라비아,여성,0,24,0,46,0,0,0,2,0,1,0,0,0,0,0,0,1,4,0,0,2,1,202,0,1,5,0,0,110
아시아주,아프가니스탄,남성,0,52,0,10,0,0,0,51,2,6,0,0,0,2,0,0,0,3,0,0,1,221,33,4,7,103,0,0,22
아시아주,아프가니스탄,여성,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202,56,0,3,18,0,0,18
아시아주,싱가포르,남성,0,65,0,13,0,0,7,35,10,4,0,6,0,2,1,0,5,43,0,0,8,13,17,12,62,0,0,0,15
아시아주,싱가포르,여성,0,142,0,35,3,1,5,21,1,4,0,1,0,2,0,0,1,33,0,0,6,23,45,31,102,1,0,0,24
아시아주,타지키스탄,남성,0,97,0,49,0,0,0,59,11,17,11,0,0,1,0,0,0,19,0,0,67,14,45,6,3,76,0,44,9
아시아주,타지키스탄,여성,0,38,0,18,0,0,0,5,0,5,0,0,0,0,0,0,0,2,0,0,65,9,76,1,8,2,0,28,12
아시아주,아랍에미리트연합,남성,0,27,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,158,0,0,67
아시아주,아랍에미리트연합,여성,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,172,0,0,43
아시아주,요르단,남성,0,14,0,5,0,1,0,114,37,2,0,2,0,4,0,0,1,5,0,0,1,13,58,6,9,22,0,0,13
아시아주,요르단,여성,0,19,0,3,0,0,0,0,0,2,0,1,1,2,0,0,0,2,0,0,3,7,122,1,5,2,0,0,4
아시아주,이라크,남성,0,11,0,4,0,0,0,35,14,2,0,0,0,4,0,0,1,3,1,0,4,12,31,3,7,121,0,0,27
아시아주,이라크,여성,0,18,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,4,10,60,2,6,14,0,0,30
아시아주,투르크메니스탄,남성,0,15,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,38,0,1,2,4,3,0,24,13
아시아주,투르크메니스탄,여성,0,22,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,35,5,0,1,11,0,0,7,20
아시아주,이스라엘,남성,0,8,0,4,0,0,2,16,1,0,0,2,0,0,0,0,0,6,0,0,1,3,10,5,17,0,0,0,18
아시아주,이스라엘,여성,0,15,0,20,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,2,29,1,11,1,0,0,20
아시아주,브루나이,남성,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,15
아시아주,브루나이,여성,0,61,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,15
아시아주,마카오,남성,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,13,0,0,1,2,0,1,2,0,0,0,0
아시아주,마카오,여성,0,21,0,14,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,1,1,0,2,13,0,0,0,0
아시아주,팔레스타인,남성,0,6,0,2,0,0,0,21,3,1,0,0,0,0,0,0,0,0,0,0,0,1,5,7,2,7,0,0,1
아시아주,팔레스타인,여성,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,2,0,0,0
아시아주,오만,남성,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,8,0,0,11
아시아주,오만,여성,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,10,0,0,7
아시아주,쿠웨이트,남성,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,18
아시아주,쿠웨이트,여성,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,1,0,0,14
아시아주,카타르,남성,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,17
아시아주,카타르,여성,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
아시아주,부탄,남성,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,3
아시아주,부탄,여성,0,9,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,4
아시아주,레바논,남성,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,2,2,0,0,4
아시아주,레바논,여성,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,3,0,0,0,3
아시아주,키프로스,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0
아시아주,키프로스,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1
아시아주,바레인,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
아시아주,바레인,여성,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
아시아주,몰디브,남성,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
북아메리카주,미국,남성,2,413,0,108,18,209,184,276,27,67,0,379,2281,61,48,15,105,857,0,0,687,478,658,973,2891,23,5,0,5579
북아메리카주,미국,여성,2,953,0,214,10,123,20,45,6,84,0,107,4900,9,0,1,82,614,0,0,276,338,891,515,1327,23,12,0,4104
북아메리카주,캐나다,남성,0,61,0,13,0,5,10,39,8,17,0,105,495,11,32,16,37,152,0,0,86,80,72,478,885,2,12,0,86
북아메리카주,캐나다,여성,0,124,0,24,2,9,0,5,0,15,0,30,595,3,0,0,18,107,0,0,36,53,87,182,252,0,24,0,81
남아메리카주,브라질,남성,0,64,0,21,0,2,3,10,60,6,0,3,1,6,3,9,82,39,0,0,15,22,57,10,93,8,0,0,43
남아메리카주,브라질,여성,0,125,0,72,0,6,2,3,5,4,0,4,1,1,0,0,28,16,0,0,22,12,155,16,170,5,0,0,40
남아메리카주,멕시코,남성,0,93,0,18,0,15,3,5,1,2,0,4,3,12,2,8,3,36,0,0,3,16,7,6,59,1,0,0,23
남아메리카주,멕시코,여성,0,195,0,56,0,3,0,1,0,3,0,2,4,3,0,0,10,13,0,0,7,12,29,6,157,0,0,0,34
남아메리카주,콜롬비아,남성,0,28,0,14,0,0,0,0,2,0,0,1,3,4,0,0,8,13,0,0,1,15,6,4,33,1,0,0,61
남아메리카주,콜롬비아,여성,0,67,0,36,0,7,0,2,0,2,0,0,0,0,0,0,7,7,0,0,8,20,20,6,72,7,0,0,72
남아메리카주,페루,남성,0,29,0,4,0,0,0,1,2,1,0,0,0,3,0,0,3,6,5,0,7,7,5,4,35,9,0,0,47
남아메리카주,페루,여성,0,64,0,35,0,6,0,1,0,6,0,0,1,0,0,0,4,7,4,0,9,7,12,3,93,6,0,0,46
남아메리카주,에콰도르,남성,0,31,0,5,0,0,0,1,0,2,0,0,0,5,1,1,2,3,0,0,2,2,3,0,17,5,0,0,30
남아메리카주,에콰도르,여성,0,48,0,17,0,3,0,0,0,5,0,0,1,0,0,0,1,4,0,0,4,2,8,1,24,0,0,0,19
남아메리카주,칠레,남성,0,11,0,7,0,1,0,2,0,3,0,1,0,5,0,1,1,2,0,0,1,6,3,3,11,1,2,0,12
남아메리카주,칠레,여성,0,41,0,39,0,1,0,0,0,0,0,0,0,1,0,0,2,6,0,0,2,1,10,1,28,0,17,0,16
