대륙,국적,성별,문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),연수취업(E8),교수(E-1),회화강사(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),기타(other)
유럽주,몬테네그로,남성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
유럽주,몬테네그로,여성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
유럽주,아이슬란드,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
유럽주,아이슬란드,여성,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
유럽주,보스니아-헤르체고비나,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
유럽주,보스니아-헤르체고비나,여성,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,몰타,남성,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
유럽주,몰타,여성,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
유럽주,코소보,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
유럽주,코소보,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,교황청,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
유럽주,영국외지시민,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,오스트레일리아,남성,0,41,0,1,2,3,8,31,9,7,0,22,113,11,16,9,22,90,0,0,35,45,53,143,322,1,11,0,105
오세아니아주,오스트레일리아,여성,0,68,0,17,0,4,0,10,1,1,0,8,171,0,0,0,6,42,0,0,17,15,92,60,112,0,8,0,87
오세아니아주,뉴질랜드,남성,0,6,0,1,1,2,2,15,1,2,0,16,64,2,4,7,3,20,0,0,4,16,19,95,172,0,1,0,26
오세아니아주,뉴질랜드,여성,0,8,0,3,0,0,1,2,0,0,0,7,80,0,0,0,0,23,0,0,7,12,16,28,30,0,0,0,10
오세아니아주,피지,남성,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,10
오세아니아주,피지,여성,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,7
오세아니아주,바누아투,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0
오세아니아주,바누아투,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
오세아니아주,마샬군도,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
오세아니아주,마샬군도,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
오세아니아주,파푸아뉴기니,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,파푸아뉴기니,여성,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
오세아니아주,솔로몬군도,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,솔로몬군도,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
오세아니아주,나우루,남성,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
오세아니아주,나우루,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,팔라우,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
오세아니아주,사모아,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,남아프리카공화국,남성,0,7,0,3,0,2,2,8,0,6,0,23,754,1,6,0,7,31,1,0,1,24,60,23,132,137,0,0,41
아프리카주,남아프리카공화국,여성,0,16,0,11,0,0,0,0,0,9,0,13,1761,0,0,0,5,34,0,0,3,14,89,2,44,34,0,0,31
아프리카주,나이지리아,남성,0,240,0,38,0,6,1,86,105,34,0,3,0,24,0,0,4,10,23,0,12,22,162,28,157,553,0,0,441
아프리카주,나이지리아,여성,0,100,0,22,0,1,0,11,6,15,0,0,0,4,0,0,1,6,1,0,8,13,228,2,1,63,0,0,91
아프리카주,이집트,남성,0,66,0,9,0,1,0,62,17,1,0,8,1,31,0,0,2,25,1,0,11,72,106,19,96,1240,0,0,239
아프리카주,이집트,여성,0,63,0,31,0,0,0,4,0,8,0,4,1,4,0,0,3,6,0,0,14,51,145,4,30,109,0,0,30
아프리카주,모로코,남성,0,28,0,18,0,0,0,1,3,0,0,2,0,4,0,0,3,9,1,0,9,7,7,13,116,414,0,0,92
아프리카주,모로코,여성,0,110,0,69,0,0,0,0,0,11,0,3,0,4,0,0,8,15,0,0,24,10,16,10,280,157,0,0,43
아프리카주,가나,남성,0,224,0,18,0,2,0,20,14,50,0,4,0,18,0,0,3,19,31,0,28,10,27,4,26,292,0,0,151
아프리카주,가나,여성,0,51,0,8,0,0,0,3,1,10,0,0,0,1,0,0,0,4,1,0,11,5,38,1,1,39,0,0,48
아프리카주,에티오피아,남성,0,198,0,22,0,3,2,3,0,12,0,10,0,38,0,0,0,9,0,0,6,99,25,19,8,141,0,0,102
아프리카주,에티오피아,여성,0,61,0,7,0,0,0,0,0,3,0,0,0,6,0,0,0,5,0,0,26,64,64,8,18,78,0,0,80
아프리카주,카메룬,남성,0,167,0,11,0,0,0,0,0,51,0,0,0,4,0,0,1,7,0,0,5,16,31,6,13,99,0,0,117
아프리카주,카메룬,여성,0,76,0,3,0,0,0,0,0,16,0,0,0,2,0,0,2,0,0,0,8,13,58,1,4,49,0,0,66
아프리카주,리비아,남성,0,10,0,2,0,1,0,188,12,2,0,1,0,0,0,0,1,0,0,0,3,11,106,5,3,87,0,0,43
아프리카주,리비아,여성,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,5,7,137,4,0,1,0,0,39
아프리카주,우간다,남성,0,113,0,17,0,0,0,0,0,16,0,1,0,6,0,0,0,2,0,0,0,16,6,0,20,129,0,0,39
아프리카주,우간다,여성,0,56,0,10,0,0,0,0,0,15,0,0,0,2,0,0,0,1,0,0,4,12,9,0,1,44,0,0,32
아프리카주,라이베리아,남성,0,15,0,5,0,1,0,1,0,3,0,0,0,1,0,0,0,2,0,0,0,4,3,1,4,184,0,0,113
아프리카주,라이베리아,여성,0,8,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,78,0,0,35
아프리카주,케냐,남성,0,102,0,16,0,3,0,1,0,14,0,1,0,5,0,0,0,11,0,0,2,7,25,2,8,36,0,0,29
아프리카주,케냐,여성,0,56,0,14,0,0,0,1,1,7,0,0,0,1,0,0,3,6,0,0,9,4,18,0,6,24,0,0,46
아프리카주,탄자니아,남성,0,124,0,28,0,1,0,1,0,6,0,0,0,0,0,0,1,4,0,0,1,2,7,1,9,114,0,0,22
아프리카주,탄자니아,여성,0,55,0,9,0,1,0,0,0,5,0,0,0,0,0,0,0,4,0,0,3,1,10,1,3,20,0,0,21
아프리카주,알제리,남성,0,9,0,6,0,0,0,1,0,1,0,0,0,4,0,0,0,5,1,0,1,2,1,7,13,199,0,0,64
아프리카주,알제리,여성,0,23,0,17,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,5,3,9,3,37,18,0,0,15
아프리카주,튀니지,남성,0,16,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,1,3,3,23,117,0,0,21
아프리카주,튀니지,여성,0,30,0,12,0,0,0,1,0,1,0,0,0,5,0,0,1,2,0,0,3,1,10,4,36,28,0,0,12
아프리카주,르완다,남성,0,101,0,5,0,0,0,0,0,4,0,1,0,6,0,0,2,9,0,0,5,4,9,1,0,48,0,0,12
아프리카주,르완다,여성,0,44,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,5,22,1,0,18,0,0,7
아프리카주,세네갈,남성,0,8,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,1,0,4,0,13,173,0,0,54
아프리카주,세네갈,여성,0,9,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,1,0,1,12,0,0,22
아프리카주,수단,남성,0,22,0,5,0,0,0,15,2,0,0,1,0,3,0,0,0,12,0,0,0,22,13,4,3,69,0,0,33
아프리카주,수단,여성,0,21,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,9,22,0,0,2,0,0,27
아프리카주,콩고민주공화국,남성,0,48,0,7,0,3,0,0,0,3,0,1,0,5,0,0,0,8,0,0,3,24,5,2,4,41,0,0,20
아프리카주,콩고민주공화국,여성,0,17,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,21,14,0,0,25,0,0,15
아프리카주,기니,남성,0,10,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,6,121,0,0,46
아프리카주,기니,여성,0,2,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,19,0,0,16
아프리카주,말리,남성,0,15,0,8,0,0,0,3,0,8,0,0,0,0,0,0,1,0,0,0,0,6,3,1,9,115,0,0,43
아프리카주,말리,여성,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,9,0,0,2
아프리카주,부룬디,남성,0,71,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,17,8,1,0,43,0,0,1
아프리카주,부룬디,여성,0,22,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,20,2,0,1,13,0,0,1
아프리카주,코트디부아르,남성,0,21,0,5,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,2,0,0,5,44,0,0,27
아프리카주,코트디부아르,여성,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,6,1,0,1,19,0,0,23
아프리카주,앙골라,남성,0,8,0,7,0,0,0,1,3,2,0,0,0,0,0,0,0,3,0,0,1,5,2,1,3,35,0,0,31
아프리카주,앙골라,여성,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,29
아프리카주,감비아,남성,0,7,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,63,0,0,40
아프리카주,감비아,여성,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
아프리카주,짐바브웨,남성,0,15,0,2,0,0,0,0,1,4,0,1,0,2,1,0,2,4,1,0,1,0,6,1,0,3,0,0,8
아프리카주,짐바브웨,여성,0,14,0,3,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,14,0,1,7,0,0,9
아프리카주,잠비아,남성,0,13,0,2,0,5,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16
아프리카주,잠비아,여성,0,12,0,2,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,4,0,1,0,0,0,17
아프리카주,시에라리온,남성,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,0,2,18,0,0,20
아프리카주,시에라리온,여성,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,6,0,0,18
아프리카주,가봉,남성,0,15,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,5,0,2,0,2,0,0,9
아프리카주,가봉,여성,0,13,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,4,0,0,6
아프리카주,모잠비크,남성,0,8,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,7,0,0,3
아프리카주,모잠비크,여성,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0
아프리카주,부르키나파소,남성,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,11,0,0,8
아프리카주,부르키나파소,여성,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2
아프리카주,말라위,남성,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3
아프리카주,말라위,여성,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5
아프리카주,토고,남성,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,15,0,0,4
아프리카주,토고,여성,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
아프리카주,남수단공화국,남성,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,5,0,0,2
아프리카주,남수단공화국,여성,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
아프리카주,마다가스카르,남성,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
아프리카주,마다가스카르,여성,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1
아프리카주,콩고,남성,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,14,0,0,3
아프리카주,콩고,여성,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
아프리카주,소말리아,남성,0,11,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0
아프리카주,소말리아,여성,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,모리셔스,남성,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2
아프리카주,모리셔스,여성,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
아프리카주,보츠와나,남성,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
아프리카주,보츠와나,여성,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
아프리카주,베냉,남성,0,7,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
아프리카주,기니비사우,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,2
아프리카주,기니비사우,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
아프리카주,에리트레아,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1
아프리카주,에리트레아,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
아프리카주,에스와티니,남성,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
아프리카주,에스와티니,여성,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
아프리카주,모리타니,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1
아프리카주,모리타니,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
아프리카주,차드,남성,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1
아프리카주,차드,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,중앙아프리카공화국,남성,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
아프리카주,중앙아프리카공화국,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,적도기니,남성,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
아프리카주,적도기니,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,니제르,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2
아프리카주,니제르,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
아프리카주,레소토,남성,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,레소토,여성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
아프리카주,코모로,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
아프리카주,세이셸,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
아프리카주,나미비아,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,지부티,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
기타,기타,남성,0,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,5,1,3,9,10,0,3,25
기타,기타,여성,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,10,0,0,8,14,0,2,10
