구분,업체명,주소(임대면적),주생산품,투자국,입주허가일
마산,한국소니전자㈜,"경상남도 창원시 마산회원구 자유무역2길 76 (24,905㎡)",방송용 유무선 송수신기,네덜란드,1972-08-24
마산,한국중천전화산업㈜,"경상남도 창원시 마산회원구 자유무역2길 26 (7,348㎡)",Timer Switch Motor,일본,1972-11-01
마산,티와이모듈코리아㈜,"경상남도 창원시 마산회원구 자유무역3길 43 (13,868㎡)",inductor condensor LCD용 인버터,한국,2019-01-28
마산,한국성전㈜,"경상남도 창원시 마산회원구 자유무역3길 150 (5,289㎡)",휴대폰 키패드,일본,1972-12-21
마산,㈜아로텍,"경상남도 창원시 마산회원구 자유무역3길 146 (6,643㎡)",LCD용 인버터 보드,한국,1972-12-21
마산,한일차단기㈜,"경상남도 창원시 마산회원구 자유무역3길 40 (6,982㎡)",전력용 차단기,한국,1993-08-02
마산,㈜엔지피,"경상남도 창원시 마산회원구 자유무역3길 118 (4,719㎡)","태양광 발전장치,LED조명 등",미국,1996-11-28
마산,엠에스이㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (6,225㎡)",PCB Assembly,한국,2007-03-28
마산,㈜테크노전자,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (3,119㎡)",전기회로개폐 보호 및 접속장치,한국,2007-11-01
마산,인피니텍㈜,경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (907.08㎡),전원용IC,일본,2009-03-19
마산,화성G&I㈜,"경상남도 창원시 마산회원구 자유무역5길 7 (2,992㎡)",엘리베이터 부품,호주,2009-11-23
마산,㈜에스피시스템스,"경상남도 창원시 마산회원구 자유무역6길 261 (3,973㎡)",램프 부품,한국,2009-08-11
마산,그린산업㈜,"경상남도 창원시 마산회원구 자유무역4길 49 (7,397㎡)",에어컨 부품 및 히터부품,한국,2010-01-19
마산,㈜우레아텍,경상남도 창원시 마산회원구 자유무역3길 108 (823.37㎡),폴리우레탄 전용발포설비,한국,2010-08-10
마산,㈜웰템,"경상남도 창원시 마산회원구 자유무역3길 154 (9,921㎡)","이동식에어컨,난방기",한국,2010-10-19
마산,에이트론㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (2,010㎡)",위성방송용 송수신기,한국,2010-11-23
마산,㈜와이에스씨,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (2,010㎡)",반도체 표면실장용 carrier tape,미국,2010-12-16
마산,일신실업㈜,"경상남도 창원시 마산회원구 자유무역3길 178 (4,061㎡)","에어컨 실내기,실외기 부품,연결배관",한국,2011-07-13
마산,㈜대호아이앤티,"경상남도 창원시 마산회원구 자유무역3길 211 표준공장 3호동 (3,650㎡)",시스템 에어컨용 네트워크 솔루션 및 전자기기,한국,2013-04-16
마산,㈜에스디이앤티,"경상남도 창원시 마산회원구 자유무역5길 2 (20,394㎡)",냉동/공조용 부품,한국,2013-05-16
마산,㈜코리아마그네슘,"경상남도 창원시 마산회원구 자유무역2길 166 (3,183㎡)",핸드폰 주조부품 및 골프 주조부품,홍콩,2013-06-26
마산,㈜원텍이엔지,경상남도 창원시 마산회원구 자유무역2길 218 (638㎡),절연용 TAPE,일본,2015-02-23
마산,㈜파라콤,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (3,617㎡)","PCB Assembly, Wire Harness",싱가포르,2019-12-24
마산,해성전자㈜,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (2,411㎡)",Wire Harness,한국,2019-12-31
마산,범한퓨얼셀㈜,"경상남도 창원시 마산회원구 자유무역4길 61 (7,132㎡)","수소연료발전지, 수소충전소",한국,2020-03-31
마산,(주)이플로우,"경상남도 창원시 마산회원구 자유무역3길 200 표준공장 6호동 (14,385㎡)",마이크로 모빌리티용 모터구동 드라이버모듈,한국,2020-07-03
마산,신성델타테크㈜,"경상남도 창원시 마산회원구 자유무역3길 200 표준공장 6호동 (16,825㎡)","청소기 관련부품, 휴대용 미니 공기청정기 등",일본,2021-02-17
마산,㈜여명라이팅,"경상남도 창원시 마산회원구 자유무역3길 184 표준공장 5호동 (1,282㎡)",LED 조명,한국,2021-03-16
마산,진영전기㈜,"경상남도 창원시 마산회원구 자유무역3길 184 표준공장 5호동 (10,255㎡)",자동차 전장용 RELAY 및 SWITCH,일본,2021-11-16
마산,㈜비콘아이앤씨,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (4,169㎡)","LCD, LED 모듈",한국,2021-11-18
마산,대한중천산업㈜,"경상남도 창원시 마산회원구 자유무역4길 30 (9,541㎡)","각종 밸브류, 센서, 스위치류 등",일본,2022-06-08
마산,대동정밀㈜,"경상남도 창원시 마산회원구 자유무역6길 31 (13,699㎡)",Washer 자동차엔진부품 및 기타부품,한국,1971-05-05
마산,㈜삼양옵틱스,"경상남도 창원시 마산회원구 자유무역6길 123 (12,264㎡)","카메라렌즈,CCTV렌즈",한국,1972-07-22
마산,한국TSK㈜,"경상남도 창원시 마산회원구 자유무역3길 89 (11,172㎡)",차량용 control cable,일본,1972-08-31
마산,새한합작㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (1,067㎡)",재활의료기기,한국,1974-02-22
마산,㈜이우,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (2,097㎡)",자동차 부품,한국,1991-08-05
마산,태진밸브공업㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (2,432㎡)",선박용 고압정밀 밸브,한국,1992-04-10
마산,㈜유니스타,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (1,109㎡)","전기자전거,악취제거 탈취제",미국,2001-01-31
마산,㈜페리만&티젠,"경상남도 창원시 마산회원구 봉암공단13길 23-14 (6,918㎡)","항공기용 부품,등",한국,2002-09-06
마산,대신금속㈜,"경상남도 창원시 마산회원구 자유무역3길 131 (18,064㎡)","모터보트 및 자동차 엔진부품,등",한국,2003-08-14
마산,㈜가유,"경상남도 창원시 마산회원구 자유무역3길 143 (13,796㎡)",산업용 로봇 부품 및 자동차 정밀부품,한국,2004-02-09
마산,나노아이텍㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (1,587㎡)",카메라 및 휴대폰 렌즈,일본,2004-08-26
마산,㈜센트랄유니코리아,"경상남도 창원시 마산회원구 자유무역3길 222 (2,788㎡)",의료용 가스 공급장치,한국,2005-11-25
마산,㈜가본,"경상남도 창원시 마산회원구 자유무역3길 59 (8,276㎡)","철도차량용 밸브,필터 설비부품",미국,2006-02-09
마산,대성코리아㈜,"경상남도 창원시 마산회원구 자유무역2길 40 (3,123㎡)",자동차 조향장치 및 동력전달 부품,독일,2006-05-18
마산,에스에이치엠㈜,"경상남도 창원시 마산회원구 봉암공단13길 32 (2,918㎡)",금속화스너 및 나사제품,한국,2007-11-01
마산,㈜성원정공,"경상남도 창원시 마산회원구 자유무역1길 80 (1,823㎡)",풍력발전기 부품,일본,2008-11-10
마산,엠엔에스아이㈜,"경상남도 창원시 마산회원구 자유무역5길 138 (4,959㎡)",조선주요 부품,한국,2013-02-27
마산,㈜창일테크,"경상남도 창원시 마산회원구 자유무역3길 78 (10,234㎡)",열교환기 증류기 및 가스발생기,미국,2007-07-02
마산,신성오토모티브㈜,"경상남도 창원시 마산회원구 봉암공단13길 6 (9,843㎡)",기타 자동차 부품,한국,2007-07-16
마산,엔디티엔지니어링㈜,"경상남도 창원시 마산회원구 자유무역4길 11 (28,518㎡)",항공기용 부품,한국,2007-07-30
마산,범한산업㈜,"경상남도 창원시 마산회원구 자유무역4길 62 (14,258㎡)",선박용 공기압축기,한국,2008-04-01
마산,㈜제일종공,"경상남도 창원시 마산회원구 자유무역5길 61 (2,329㎡)",기어 및 동력전달장치,일본,2008-07-17
마산,㈜평화정밀,"경상남도 창원시 마산회원구 자유무역3길 46 (9,707㎡)","clutch booster,등",일본,2008-09-30
마산,한국공장㈜,"경상남도 창원시 마산회원구 자유무역3길 50 (4,106㎡)","탭,밸브 및 유사장치",일본,2009-01-19
마산,포커스옵텍㈜,"경상남도 창원시 마산회원구 자유무역3길 206 (2,959㎡)",조준경,한국,2009-08-28
마산,기진정밀,"경상남도 창원시 마산회원구 자유무역3길 155 (3,308㎡)",카메라렌즈 경통부품 및 감시용 광학기기부품,한국,2009-09-28
마산,㈜다산,"경상남도 창원시 마산회원구 자유무역3길 66 (7,923㎡)",Scroll compressor,한국,2011-05-20
마산,㈜유진메카닉스,"경상남도 창원시 마산회원구 자유무역3길 211 표준공장 3호동 (4,295㎡)","휴대폰카메라 렌즈,등",한국,2011-07-01
마산,지엠비에이지테크㈜,"경상남도 창원시 마산회원구 자유무역3길 211 표준공장 3호동 (11,605㎡)","전동.기계식 워터펌프,친환경자동차용 모터",일본,2013-05-09
마산,㈜고려와이어,"경상남도 창원시 마산회원구 자유무역5길 27 (3,638㎡)",자동차용 케이블 및 의료용 케이블,일본,2013-05-24
마산,첨단정공(유책),"경상남도 창원시 마산회원구 자유무역2길 112 (7,987㎡)",금속절삭기계,미국,2013-10-15
마산,첨단엔진㈜,"경상남도 창원시 마산회원구 자유무역2길 110 (4,236㎡)",자동차용 베어링,일본,2013-12-13
마산,㈜씨티알,"경상남도 창원시 마산회원구 자유무역3길 211 표준공장 3호동 (20,756㎡)",냉동/공조용 부품,일본,2014-11-17
마산,㈜유진오토텍,"경상남도 창원시 마산회원구 자유무역2길 68 (3,306㎡)",휴대폰 부품,한국,2015-01-12
마산,(주)수 옵틱스,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (6,292㎡)",광학조준경,한국,2016-07-07
마산,하이윈코퍼레이션㈜,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (2,306㎡)",동작제어시스템 제품 및 부품,대만,2016-07-15
마산,㈜태영하이테크,"경상남도 창원시 마산회원구 자유무역2길 178 (4,915㎡)",각종기어류,인도네시아,2016-12-07
마산,동양산업㈜,"경상남도 창원시 마산회원구 자유무역3길 193 표준공장 2호동 (7,270㎡)",자동차부품,한국,2017-03-08
마산,강호정밀,"경상남도 창원시 마산회원구 봉암공단13길 15-21 (2,018㎡)","SHAFT,반전기용 부품,연료전지 부품",일본,2017-04-04
마산,(주)무룡,"경상남도 창원시 마산회원구 봉암공단13길 30 (7,361㎡)","자동차 부품(Valve Body,Valve Spool)",홍콩,2017-05-15
마산,㈜창일기계,"경상남도 창원시 마산회원구 봉암공단13길 23-12 (7,028㎡)",자동차 등속조인트 부품,영국,2017-10-13
마산,지엠비엘피스㈜,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (8,389㎡)","EWP,EWP제어기",일본,2017-11-01
마산,㈜디에스아이,"경상남도 창원시 마산회원구 자유무역3길 193 표준공장 2호동 (4,195㎡)",자동차 부품,한국,2019-07-10
마산,세현테크,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (1,055㎡)",자동화설비 설계 제작,한국,2018-11-21
마산,신명기계,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (2,412㎡)",밸브 부품,한국,2018-11-26
마산,오알에스코리아(유),"경상남도 창원시 마산회원구 자유무역3길 184 표준공장 5호동 (4,839㎡)","공작기계,스핀들,베어링",터키,2019-08-12
마산,지에스㈜,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (2,161㎡)",카메라용 렌즈 SPACER,한국,2019-12-18
마산,한산스크류㈜,"경상남도 창원시 마산회원구 자유무역3길 76 (6,648㎡)",산업용 볼트,일본,1972-12-28
마산,㈜코와이어,"경상남도 창원시 마산회원구 자유무역6길 41 (17,230㎡)",금속 화스너,한국,2012-07-11
마산,㈜대균,"경상남도 창원시 마산회원구 자유무역3길 130 (11,380㎡)","에어컨,냉장고부품",미국,2012-07-23
마산,㈜에이스,"경상남도 창원시 마산회원구 자유무역2길 164 (1,989㎡)",RING(이어폰 부품),한국,2017-01-06
마산,㈜케이엠에스,"경상남도 창원시 마산회원구 자유무역3길 138 (1,659㎡)","Micro Screw,볼트",일본,2018-01-30
마산,㈜비토,"경상남도 창원시 마산회원구 자유무역3길 193 (1,055㎡)",BTA DRILL,한국,2021-09-16
마산,㈜에이치지아이,"경상남도 창원시 마산회원구 자유무역2길 8 (5,407㎡)",가전용 스테인레스 Sheet,미국,2021-11-09
마산,㈜미래하이테크,"경상남도 창원시 마산회원구 자유무역5길 13 (5,153㎡)","자동차 부품, 농기계 부품",한국,2022-09-01
마산,삼원동관㈜,"경상남도 창원시 마산회원구 자유무역3길 204 표준공장 4호동 (4,525㎡)","에어컨, 냉장고 동관 가공품",한국,2023-07-03
마산,㈜알멕,"경상남도 창원시 마산회원구 자유무역3길 204 표준공장 4호동 (4,525㎡)",전기차 배터리 케이스 및 프레임 구성품,한국,2023-08-01
마산,㈜카츠코리아,"경상남도 창원시 마산회원구 자유무역3길 193 표준공장 2호동 (1,043㎡)",자동차용 휠베어링,한국,2023-08-01
마산,㈜대명,"경상남도 창원시 마산회원구 자유무역4길 61 (5,298㎡)","낙하산,볼베어링케이스",한국,1994-08-17
마산,한국KSP㈜,"경상남도 창원시 마산회원구 봉암공단13길 15-14 (4,605㎡)",합성수지 성형,일본,1971-03-16
마산,㈜젬텍,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (1,122㎡)",자동차 부품,한국,1998-02-26
마산,디에스티㈜,"경상남도 창원시 마산회원구 봉암공단13길 15-1 (6,861㎡)",자동차 공조설비 핀 성형머신,한국,2006-12-05
마산,㈜디티엠,"경상남도 창원시 마산회원구 봉암공단13길 20 (10,362㎡)",자동차부품용 다이케스팅 금형,일본,2007-01-22
마산,㈜동천,"경상남도 창원시 마산회원구 봉암공단13길 15-19 (4,706㎡)",자동차부품,한국,2007-02-14
마산,㈜성산암데코,"경상남도 창원시 마산회원구 봉암공단13길 7 (6,160㎡)",자동차부품,일본,2007-02-15
마산,㈜애드테크,"경상남도 창원시 마산회원구 자유무역3길 169 (7,337㎡)","자동차부품,등",네팔,2007-04-12
마산,삼일테크㈜,"경상남도 창원시 마산회원구 자유무역3길 72 (7,459㎡)","전용기,자동화설비,등",일본,2011-11-21
마산,도원정밀㈜,"경상남도 창원시 마산회원구 자유무역3길 220 (1,721㎡)",초정밀금형 부품,한국,2013-01-28
마산,칸원크홀딩㈜,"경상남도 창원시 마산회원구 자유무역3길 193 표준공장 2호동(5,209㎡)","알루미늄척,CVT",홍콩,2017-09-08
마산,세븐텍㈜,"경상남도 창원시 마산회원구 봉암공단13길 15-11 (7,316㎡)",특수목적용 기계 구조물 가공품 및 특수목적용 유압품,미국,2020-02-17
마산,㈜엠에스티,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (1,206㎡)","냉각기, 주축관동 클런트 유니트 외",한국,2020-07-01
마산,드림팩토리,"경상남도 창원시 마산회원구 자유무역3길 184 표준공장 5호동 (1,282㎡)","스탬핑 머신, 핸드클리커, 스티칭 포니, 가죽공예용 소도구 등",한국,2021-02-16
마산,㈜지에스큐,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (1,206㎡)","스탬핑 머신, 핸드클리커, 스티칭 포니, 가죽공예용 소도구 등",한국,2021-04-27
마산,일진지앤에스㈜,"경상남도 창원시 마산회원구 자유무역1길 42 (6,443㎡)",열교환기 및 부품,중국,2021-12-20
마산,HE Tech,"경상남도 창원시 마산회원구 자유무역3길 112 (1,668㎡)","에어컨 열교환기, 생산설비",한국,2022-08-23
마산,(주)예림도장기,"경상남도 창원시 마산회원구 자유무역5길 85 (2,680㎡)",에어리스 도장기기,한국,2023-06-08
마산,㈜송마,"경상남도 창원시 마산회원구 자유무역2길 132 (6,785㎡)","CNC 기어, 호빙머신",한국,2023-09-22
마산,㈜동남,"경상남도 창원시 마산회원구 자유무역6길 157 (3,854㎡)",자동차부품,한국,1980-11-20
마산,패션라인㈜,경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (907㎡),"안경테,등",한국,1981-03-26
마산,㈜신광,"경상남도 창원시 마산회원구 자유무역1길 62 (4,614㎡)",캠코더 및 복사기 렌즈,일본,1994-06-03
마산,한국정상화성㈜,"경상남도 창원시 마산회원구 자유무역5길 100 (12,112㎡)","기타고무제품,캐스터",일본,1973-01-24
마산,한국SS㈜,"경상남도 창원시 마산회원구 자유무역길3길 148 (3,754㎡)",교육용 교구,일본,1979-08-22
마산,㈜한부,"경상남도 창원시 마산회원구 자유무역3길 116 (1,701㎡)",식품 포장용 플라스틱,일본,1993-10-07
마산,㈜나눅스케미칼,"경상남도 창원시 마산회원구 자유무역3길 88 (4,317㎡)","수성 접착제,나노 생활용품,등",한국,1999-11-01
마산,세우산업㈜,"경상남도 창원시 마산회원구 무역로 51 (9,981㎡)",포장용 스티로폼,한국,2001-09-18
마산,㈜삼일,"경상남도 창원시 마산회원구 무역로 57 (3,610㎡)","기타 플라스틱,금속가구",일본,2004-07-22
마산,세강㈜,경상남도 창원시 마산회원구 봉암공단13길 23-23 표준공장 8호동 (680㎡),타이어 밀봉제,일본,2010-05-11
마산,㈜화인글라스,"경상남도 창원시 마산회원구 자유무역3길 42 (1,527㎡)",가전제품용 강화유리,미국,2010-12-06
마산,㈜네오플라테크 창원,"경상남도 창원시 마산회원구 자유무역3길 172 (9,597㎡)",플라스틱 사출품,인도네시아,2011-05-12
마산,㈜이성,"경상남도 창원시 마산회원구 자유무역6길 33 (10,681㎡)","테이퍼,볼리테이너,등",미국,2012-05-17
마산,로강아이엔씨㈜,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (2,224㎡)","각종 스포츠레져용품,등",일본,2013-05-15
마산,㈜한성비씨씨,"경상남도 창원시 마산회원구 자유무역3길 182 (2,065㎡)",박리성 고무코팅제,중국,2014-05-08
마산,㈜HIMC,"경상남도 창원시 마산회원구 자유무역3길 144 (4,980㎡)",중장비 및 농기계 유압실린더,한국,2016-02-24
마산,㈜일렉콤,"경상남도 창원시 마산회원구 자유무역3길 177 표준공장 1호동 (1,888㎡)","영상사격시뮬레이션,정보통신기술(ICT)",대만,2016-07-07
마산,㈜동명하이드로릭,"경상남도 창원시 마산회원구 봉암공단13길 23-29 표준공장 9호동 (1,002㎡)",유압펌프,한국,2016-12-09
마산,㈜경은이엠티,"경상남도 창원시 마산회원구 자유무역3길 19 (1,984㎡)","전동기,발전기,절연선,탄소제품 등",홍콩,2017-01-11
마산,㈜에스지에스,"경상남도 창원시 마산회원구 자유무역6길 143 (4,776㎡)","철도차량 내외장재, 각종 판넬 및 BORD, 전장품 박스",한국,2020-07-01
마산,㈜네오플라테크,"경상남도 창원시 마산회원구 자유무역3길 180 표준공장 7호동 (2,411㎡)","세탁기, 냉장고 케이스",한국,2020-12-08
마산,㈜에어로디스팬싱솔루션,"경상남도 창원시 마산회원구 자유무역2길 39 (6,538㎡)","RTF용기, Actuator, 에어로졸밸브",네덜란드,2022-11-01
군산,SNT에너지㈜,"전라북도 군산시 자유무역3길19 (158,859.7㎡)",증류기 및 열교환기(공랭식 열교환기),한국,2007-03-08
군산,올리콘발저스코팅코리아(유),"전라북도 군산시 자유무역2길15 표준공장 3동 2~4층 (7,545.7㎡)",기타금속처리업(특수코팅),스위스,2007-05-08
군산,㈜풍림파마텍,"전라북도 군산시 자유무역1길21(4,201㎡) 및 표준공장 4동 2, 3층(5,030.4㎡) (총 9,231.4㎡)","기타 의료기기 제조업(주사기 및 의료용구), 화장품, 마스크, 필터",미국,2008-08-06
군산,군산조선해양기술사업협동조합,"전라북도 군산시 자유무역로243 (83,865.1㎡)",선박 구성 부분품 제조업,한국,2020-11-11
군산,㈜서울정밀,"전라북도 군산시 자유무역2길15 표준공장 3동 1층(2,445.93㎡), 4동1층(2,445.93㎡) (총 4,891.9㎡)",자동차용 동력전달장치,한국,2008-06-04
군산,㈜에쎈테크,"전라북도 군산시 자유무역2길15 표준공장 2동 1층, 2층 (4,961.1㎡), 6동(7,231.1㎡), 7동(7,231.1㎡) (총 19,423.4㎡)","황동밸브 단조,가공",한국,2006-11-06
군산,㈜필텍,"전라북도 군산시 자유무역2길15 표준공장 1동 1층(2,445.9㎡), 2동 3층, 4층(5,030.4㎡), 5동 4층(2,515.2㎡) (총 9,991.6㎡)",의료용품 및 의약품,일본,2009-08-28
군산,㈜플로우마스터,"전라북도 군산시 자유무역로193 (23,176.3㎡)","철구조물 제조, 열교환기 제조, 교반기 제조",한국,2021-07-20
군산,삼양이노켐㈜,"전라북도 군산시 자유무역1길133 (119,977.8㎡)",기타 기초 유기화합물 제조업(BPA),한국,2009-12-28
군산,픽스테아㈜,"전라북도 군산시 자유무역3길40-5 (11,264.8㎡)","운송장비용 조명장치 제조업,TV 제조업",미국,2010-02-25
군산,에너지엔㈜,"전라북도 군산시 자유무역2길72 (72,183.4㎡)","증류기,열교환기 및 가스발생기 제조업",한국,2010-06-16
군산,㈜디티에스,"전라북도 군산시 자유무역2길45 (106,566.4㎡)","증류기,열교환기 및 가스발생기 제조업(특수열교환기)",한국,2011-05-12
군산,삼양화인테크놀로지㈜,"전라북도 군산시 자유무역1길63 (48,777.7㎡)",합성수지제조업(균일계 이온교환수지),일본,2014-02-26
군산,㈜성현,"전라북도 군산시 자유무역2길31 (26,771.7㎡)",금속조립 및 압력용기 제조업(파워플랜트 기자재),한국,2014-02-26
군산,㈜필로시스,"전라북도 군산시 자유무역2길15 표준공장 1동 3, 4층 (5,030.4㎡)",의료용기기 제조(혈당측정기),한국,2014-03-19
군산,㈜강원에너지,"전라북도 군산시 자유무역길60 (46,989.3㎡)",산업용 난방보일러 및 방열기 제조업,한국,2019-04-10
군산,써멀솔루션스㈜,"전라북도 군산시 자유무역2길15 (25,904.0㎡)","알루미늄 압출,압연, 그외 자동차 부품 제조업(알루미늄 히트싱크)",미국,2015-01-09
군산,나투라미디어㈜,"전라북도 군산시 자유무역1길97 (15,445.1㎡)",플라스틱 적층 도포 및 기타 표면처리제품 제조업,한국,2016-02-17
군산,㈜코원,"전라북도 군산시 자유무역1길71 (21,104.7㎡)",비금속광물 분쇄물 제조업,홍콩,2016-10-18
군산,오씨아이파워㈜,"전라북도 군산시 자유무역2길15 표준공장 5동 1~3층(7,476.4㎡),자유무역로 265 표준공장 8동 1층 (1,965㎡) (총 9,441.2㎡)","기타 발전기 및 전기변환장치 제조(태양광 인버터, ESS용 PCS)",한국,2019-01-24
